season,date,teams,result
1975-1976,09.05.1976,Inter-Roma,2-0
1975-1976,09.05.1976,Juventus-Sampdoria,2-0
1975-1976,09.05.1976,Lazio-Milan,4-0
1975-1976,09.05.1976,Napoli-Perugia,4-0
1975-1976,09.05.1976,Verona-Torino,0-0
1975-1976,16.05.1976,Bologna-Inter,1-2
1975-1976,16.05.1976,Como-Lazio,2-2
1975-1976,16.05.1976,Fiorentina-Verona,2-2
1975-1976,16.05.1976,Milan-Cagliari,2-3
1975-1976,16.05.1976,Perugia-Juventus,1-0
1975-1976,16.05.1976,Roma-Ascoli,1-1
1975-1976,16.05.1976,Sampdoria-Napoli,2-1
1975-1976,16.05.1976,Torino-Cesena,1-1
1976-1977,03.10.1976,Catanzaro-Napoli,0-0
1976-1977,03.10.1976,Cesena-Fiorentina,1-2
1976-1977,03.10.1976,Foggia-Inter,0-0
1976-1977,03.10.1976,Genoa-Roma,2-2
1976-1977,03.10.1976,Lazio-Juventus,2-3
1976-1977,03.10.1976,Milan-Perugia,2-1
1976-1977,03.10.1976,Torino-Sampdoria,3-1
1976-1977,03.10.1976,Verona-Bologna,3-3
1976-1977,10.10.1976,Bologna-Torino,0-3
1976-1977,10.10.1976,Fiorentina-Lazio,0-1
1976-1977,10.10.1976,Inter-Catanzaro,2-1
1976-1977,10.10.1976,Juventus-Genoa,1-0
1976-1977,10.10.1976,Napoli-Verona,3-0
1976-1977,10.10.1976,Perugia-Foggia,1-0
1976-1977,10.10.1976,Roma-Cesena,2-0
1976-1977,10.10.1976,Sampdoria-Milan,0-0
1976-1977,24.10.1976,Catanzaro-Sampdoria,1-0
1976-1977,24.10.1976,Cesena-Perugia,0-3
1976-1977,24.10.1976,Foggia-Juventus,0-1
1976-1977,24.10.1976,Genoa-Napoli,2-3
1976-1977,24.10.1976,Lazio-Bologna,3-0
1976-1977,24.10.1976,Milan-Fiorentina,0-0
1976-1977,24.10.1976,Torino-Roma,2-0
1976-1977,24.10.1976,Verona-Inter,1-0
1976-1977,31.10.1976,Bologna-Foggia,0-0
1976-1977,31.10.1976,Fiorentina-Torino,0-1
1976-1977,31.10.1976,Inter-Cesena,1-1
1976-1977,31.10.1976,Juventus-Catanzaro,3-0
1976-1977,31.10.1976,Napoli-Milan,3-1
1976-1977,31.10.1976,Perugia-Genoa,2-1
1976-1977,31.10.1976,Roma-Verona,0-0
1976-1977,31.10.1976,Sampdoria-Lazio,0-0
1976-1977,07.11.1976,Catanzaro-Roma,1-1
1976-1977,07.11.1976,Cesena-Bologna,0-0
1976-1977,07.11.1976,Foggia-Napoli,2-2
1976-1977,07.11.1976,Genoa-Sampdoria,1-1
1976-1977,07.11.1976,Lazio-Perugia,1-0
1976-1977,07.11.1976,Milan-Juventus,2-3
1976-1977,07.11.1976,Torino-Inter,1-0
1976-1977,07.11.1976,Verona-Fiorentina,1-2
1976-1977,21.11.1976,Bologna-Milan,2-2
1976-1977,21.11.1976,Fiorentina-Catanzaro,1-1
1976-1977,21.11.1976,Inter-Genoa,1-0
1976-1977,21.11.1976,Juventus-Verona,2-1
1976-1977,21.11.1976,Napoli-Lazio,1-1
1976-1977,21.11.1976,Perugia-Torino,1-1
1976-1977,21.11.1976,Roma-Foggia,3-1
1976-1977,21.11.1976,Sampdoria-Cesena,2-1
1976-1977,28.11.1976,Catanzaro-Bologna,1-2
1976-1977,28.11.1976,Cesena-Juventus,0-1
1976-1977,28.11.1976,Foggia-Sampdoria,2-0
1976-1977,28.11.1976,Genoa-Fiorentina,1-1
1976-1977,28.11.1976,Lazio-Roma,1-0
1976-1977,28.11.1976,Milan-Inter,1-1
1976-1977,28.11.1976,Torino-Napoli,2-1
1976-1977,28.11.1976,Verona-Perugia,2-0
1976-1977,05.12.1976,Bologna-Genoa,0-0
1976-1977,05.12.1976,Fiorentina-Foggia,4-1
1976-1977,05.12.1976,Inter-Lazio,1-1
1976-1977,05.12.1976,Juventus-Torino,0-2
1976-1977,05.12.1976,Napoli-Cesena,3-1
1976-1977,05.12.1976,Perugia-Catanzaro,1-1
1976-1977,05.12.1976,Roma-Milan,1-1
1976-1977,05.12.1976,Sampdoria-Verona,3-1
1976-1977,12.12.1976,Catanzaro-Torino,0-4
1976-1977,12.12.1976,Cesena-Verona,0-1
1976-1977,12.12.1976,Juventus-Fiorentina,0-0
1976-1977,12.12.1976,Lazio-Foggia,0-0
1976-1977,12.12.1976,Milan-Genoa,2-2
1976-1977,12.12.1976,Napoli-Roma,1-0
1976-1977,12.12.1976,Perugia-Bologna,1-0
1976-1977,12.12.1976,Sampdoria-Inter,0-1
1976-1977,19.12.1976,Bologna-Juventus,0-1
1976-1977,19.12.1976,Fiorentina-Sampdoria,1-1
1976-1977,19.12.1976,Foggia-Milan,2-1
1976-1977,19.12.1976,Genoa-Lazio,3-1
1976-1977,19.12.1976,Inter-Napoli,3-2
1976-1977,19.12.1976,Roma-Perugia,2-2
1976-1977,19.12.1976,Torino-Cesena,2-0
1976-1977,19.12.1976,Verona-Catanzaro,0-0
1976-1977,02.01.1977,Cesena-Catanzaro,1-0
1976-1977,02.01.1977,Fiorentina-Bologna,3-0
1976-1977,02.01.1977,Foggia-Genoa,2-3
1976-1977,02.01.1977,Inter-Roma,3-0
1976-1977,02.01.1977,Juventus-Perugia,1-0
1976-1977,02.01.1977,Lazio-Milan,1-2
1976-1977,02.01.1977,Sampdoria-Napoli,2-2
1976-1977,02.01.1977,Verona-Torino,0-0
1976-1977,09.01.1977,Bologna-Inter,1-5
1976-1977,09.01.1977,Catanzaro-Foggia,3-1
1976-1977,09.01.1977,Genoa-Cesena,4-1
1976-1977,09.01.1977,Milan-Verona,0-0
1976-1977,09.01.1977,Napoli-Juventus,0-2
1976-1977,09.01.1977,Perugia-Fiorentina,0-0
1976-1977,09.01.1977,Roma-Sampdoria,3-0
1976-1977,09.01.1977,Torino-Lazio,3-3
1976-1977,16.01.1977,Bologna-Napoli,0-1
1976-1977,16.01.1977,Fiorentina-Roma,1-1
1976-1977,16.01.1977,Foggia-Cesena,0-2
1976-1977,16.01.1977,Genoa-Catanzaro,2-0
1976-1977,16.01.1977,Juventus-Inter,2-0
1976-1977,16.01.1977,Lazio-Verona,1-1
1976-1977,16.01.1977,Milan-Torino,0-0
1976-1977,16.01.1977,Perugia-Sampdoria,0-0
1976-1977,30.01.1977,Catanzaro-Milan,1-0
1976-1977,30.01.1977,Cesena-Lazio,0-0
1976-1977,30.01.1977,Inter-Fiorentina,1-1
1976-1977,30.01.1977,Napoli-Perugia,1-1
1976-1977,30.01.1977,Roma-Juventus,3-1
1976-1977,30.01.1977,Sampdoria-Bologna,0-0
1976-1977,30.01.1977,Torino-Foggia,1-0
1976-1977,30.01.1977,Verona-Genoa,3-2
1976-1977,06.02.1977,Bologna-Roma,2-0
1976-1977,06.02.1977,Fiorentina-Napoli,2-1
1976-1977,06.02.1977,Foggia-Verona,4-1
1976-1977,06.02.1977,Genoa-Torino,1-1
1976-1977,06.02.1977,Juventus-Sampdoria,3-0
1976-1977,06.02.1977,Lazio-Catanzaro,0-1
1976-1977,06.02.1977,Milan-Cesena,0-0
1976-1977,06.02.1977,Perugia-Inter,0-1
1976-1977,13.02.1977,Bologna-Verona,0-0
1976-1977,13.02.1977,Fiorentina-Cesena,2-1
1976-1977,13.02.1977,Inter-Foggia,1-1
1976-1977,13.02.1977,Juventus-Lazio,2-0
1976-1977,12.02.1977,Napoli-Catanzaro,1-0
1976-1977,13.02.1977,Perugia-Milan,3-1
1976-1977,13.02.1977,Roma-Genoa,1-0
1976-1977,13.02.1977,Sampdoria-Torino,2-3
1976-1977,20.02.1977,Catanzaro-Inter,1-3
1976-1977,20.02.1977,Cesena-Roma,4-0
1976-1977,20.02.1977,Foggia-Perugia,2-1
1976-1977,20.02.1977,Genoa-Juventus,2-2
1976-1977,20.02.1977,Lazio-Fiorentina,4-1
1976-1977,20.02.1977,Milan-Sampdoria,3-0
1976-1977,20.02.1977,Torino-Bologna,1-0
1976-1977,20.02.1977,Verona-Napoli,1-0
1976-1977,27.02.1977,Bologna-Lazio,1-0
1976-1977,27.02.1977,Fiorentina-Milan,1-1
1976-1977,27.02.1977,Inter-Verona,0-0
1976-1977,27.02.1977,Juventus-Foggia,1-0
1976-1977,27.02.1977,Napoli-Genoa,1-1
1976-1977,27.02.1977,Perugia-Cesena,1-0
1976-1977,27.02.1977,Roma-Torino,1-0
1976-1977,27.02.1977,Sampdoria-Catanzaro,3-1
1976-1977,06.03.1977,Catanzaro-Juventus,0-2
1976-1977,06.03.1977,Cesena-Inter,0-0
1976-1977,06.03.1977,Foggia-Bologna,1-0
1976-1977,06.03.1977,Genoa-Perugia,0-0
1976-1977,06.03.1977,Lazio-Sampdoria,1-0
1976-1977,06.03.1977,Milan-Napoli,1-1
1976-1977,06.03.1977,Torino-Fiorentina,2-0
1976-1977,06.03.1977,Verona-Roma,1-1
1976-1977,13.03.1977,Bologna-Cesena,0-0
1976-1977,13.03.1977,Fiorentina-Verona,2-1
1976-1977,13.03.1977,Inter-Torino,0-1
1976-1977,13.03.1977,Juventus-Milan,2-1
1976-1977,13.03.1977,Napoli-Foggia,3-2
1976-1977,13.03.1977,Perugia-Lazio,2-0
1976-1977,13.03.1977,Roma-Catanzaro,1-0
1976-1977,13.03.1977,Sampdoria-Genoa,1-2
1976-1977,20.03.1977,Catanzaro-Fiorentina,0-1
1976-1977,20.03.1977,Cesena-Sampdoria,1-1
1976-1977,20.03.1977,Foggia-Roma,1-0
1976-1977,20.03.1977,Genoa-Inter,2-2
1976-1977,20.03.1977,Lazio-Napoli,0-0
1976-1977,20.03.1977,Milan-Bologna,1-1
1976-1977,20.03.1977,Torino-Perugia,2-1
1976-1977,20.03.1977,Verona-Juventus,0-0
1976-1977,27.03.1977,Bologna-Catanzaro,0-0
1976-1977,27.03.1977,Fiorentina-Genoa,1-2
1976-1977,27.03.1977,Inter-Milan,0-0
1976-1977,27.03.1977,Juventus-Cesena,3-2
1976-1977,27.03.1977,Napoli-Torino,0-0
1976-1977,27.03.1977,Perugia-Verona,1-1
1976-1977,27.03.1977,Roma-Lazio,1-0
1976-1977,27.03.1977,Sampdoria-Foggia,2-1
1976-1977,03.04.1977,Catanzaro-Perugia,1-1
1976-1977,03.04.1977,Cesena-Napoli,0-2
1976-1977,03.04.1977,Foggia-Fiorentina,2-3
1976-1977,03.04.1977,Genoa-Bologna,0-2
1976-1977,03.04.1977,Lazio-Inter,2-1
1976-1977,03.04.1977,Milan-Roma,1-1
1976-1977,03.04.1977,Torino-Juventus,1-1
1976-1977,03.04.1977,Verona-Sampdoria,2-2
1976-1977,10.04.1977,Bologna-Perugia,1-0
1976-1977,10.04.1977,Fiorentina-Juventus,1-3
1976-1977,10.04.1977,Foggia-Lazio,1-0
1976-1977,10.04.1977,Genoa-Milan,1-0
1976-1977,10.04.1977,Inter-Sampdoria,0-0
1976-1977,10.04.1977,Roma-Napoli,0-0
1976-1977,10.04.1977,Torino-Catanzaro,3-1
1976-1977,10.04.1977,Verona-Cesena,2-1
1976-1977,17.04.1977,Catanzaro-Verona,2-1
1976-1977,17.04.1977,Cesena-Torino,0-3
1976-1977,16.04.1977,Juventus-Bologna,2-1
1976-1977,17.04.1977,Lazio-Genoa,4-1
1976-1977,17.04.1977,Milan-Foggia,0-0
1976-1977,16.04.1977,Napoli-Inter,0-3
1976-1977,17.04.1977,Perugia-Roma,3-0
1976-1977,17.04.1977,Sampdoria-Fiorentina,2-2
1976-1977,24.04.1977,Bologna-Fiorentina,2-0
1976-1977,24.04.1977,Catanzaro-Cesena,4-2
1976-1977,24.04.1977,Genoa-Foggia,1-2
1976-1977,24.04.1977,Milan-Lazio,2-2
1976-1977,24.04.1977,Napoli-Sampdoria,1-1
1976-1977,24.04.1977,Perugia-Juventus,1-1
1976-1977,24.04.1977,Roma-Inter,2-3
1976-1977,24.04.1977,Torino-Verona,1-0
1976-1977,01.05.1977,Cesena-Genoa,1-1
1976-1977,01.05.1977,Fiorentina-Perugia,1-0
1976-1977,01.05.1977,Foggia-Catanzaro,1-0
1976-1977,01.05.1977,Inter-Bologna,0-0
1976-1977,30.04.1977,Juventus-Napoli,2-1
1976-1977,01.05.1977,Lazio-Torino,0-0
1976-1977,01.05.1977,Sampdoria-Roma,1-0
1976-1977,01.05.1977,Verona-Milan,0-0
1976-1977,08.05.1977,Catanzaro-Genoa,2-1
1976-1977,08.05.1977,Cesena-Foggia,2-3
1976-1977,08.05.1977,Inter-Juventus,0-2
1976-1977,08.05.1977,Napoli-Bologna,1-2
1976-1977,08.05.1977,Roma-Fiorentina,0-0
1976-1977,08.05.1977,Sampdoria-Perugia,2-0
1976-1977,08.05.1977,Torino-Milan,2-0
1976-1977,08.05.1977,Verona-Lazio,0-0
1976-1977,15.05.1977,Bologna-Sampdoria,4-1
1976-1977,15.05.1977,Fiorentina-Inter,3-0
1976-1977,15.05.1977,Foggia-Torino,0-1
1976-1977,15.05.1977,Genoa-Verona,1-0
1976-1977,14.05.1977,Juventus-Roma,1-0
1976-1977,15.05.1977,Lazio-Cesena,3-0
1976-1977,15.05.1977,Milan-Catanzaro,3-2
1976-1977,15.05.1977,Perugia-Napoli,4-2
1976-1977,22.05.1977,Catanzaro-Lazio,1-2
1976-1977,22.05.1977,Cesena-Milan,0-2
1976-1977,22.05.1977,Inter-Perugia,1-1
1976-1977,22.05.1977,Napoli-Fiorentina,0-2
1976-1977,22.05.1977,Roma-Bologna,1-0
1976-1977,22.05.1977,Sampdoria-Juventus,0-2
1976-1977,22.05.1977,Torino-Genoa,5-1
1976-1977,22.05.1977,Verona-Foggia,2-1
1977-1978,11.09.1977,Atalanta-Perugia,1-1
1977-1978,11.09.1977,Fiorentina-Milan,1-1
1977-1978,11.09.1977,Genoa-Lazio,2-1
1977-1978,11.09.1977,Inter-Bologna,0-1
1977-1978,11.09.1977,Juventus-Foggia,6-0
1977-1978,11.09.1977,Pescara-Napoli,1-3
1977-1978,11.09.1977,Roma-Torino,2-1
1977-1978,11.09.1977,Verona-Vicenza,0-0
1977-1978,18.09.1977,Bologna-Atalanta,0-0
1977-1978,18.09.1977,Foggia-Fiorentina,1-1
1977-1978,18.09.1977,Lazio-Verona,1-1
1977-1978,18.09.1977,Milan-Genoa,2-2
1977-1978,18.09.1977,Napoli-Juventus,1-2
1977-1978,18.09.1977,Perugia-Roma,3-2
1977-1978,18.09.1977,Torino-Pescara,2-0
1977-1978,18.09.1977,Vicenza-Inter,1-2
1977-1978,25.09.1977,Atalanta-Lazio,1-1
1977-1978,25.09.1977,Fiorentina-Verona,1-2
1977-1978,25.09.1977,Genoa-Perugia,2-0
1977-1978,25.09.1977,Inter-Napoli,1-0
1977-1978,25.09.1977,Juventus-Milan,1-1
1977-1978,25.09.1977,Pescara-Bologna,2-1
1977-1978,25.09.1977,Roma-Foggia,1-0
1977-1978,25.09.1977,Vicenza-Torino,0-0
1977-1978,02.10.1977,Foggia-Bologna,1-0
1977-1978,02.10.1977,Lazio-Juventus,3-0
1977-1978,02.10.1977,Milan-Vicenza,3-1
1977-1978,02.10.1977,Napoli-Genoa,0-0
1977-1978,02.10.1977,Perugia-Fiorentina,2-1
1977-1978,02.10.1977,Pescara-Roma,1-1
1977-1978,02.10.1977,Torino-Inter,1-0
1977-1978,02.10.1977,Verona-Atalanta,1-2
1977-1978,23.10.1977,Atalanta-Napoli,1-1
1977-1978,23.10.1977,Bologna-Perugia,2-3
1977-1978,23.10.1977,Foggia-Torino,1-0
1977-1978,23.10.1977,Genoa-Verona,2-2
1977-1978,23.10.1977,Inter-Lazio,1-1
1977-1978,23.10.1977,Juventus-Fiorentina,5-1
1977-1978,23.10.1977,Roma-Milan,1-2
1977-1978,23.10.1977,Vicenza-Pescara,1-1
1977-1978,30.10.1977,Atalanta-Vicenza,2-4
1977-1978,30.10.1977,Fiorentina-Inter,0-2
1977-1978,30.10.1977,Lazio-Pescara,2-1
1977-1978,30.10.1977,Milan-Foggia,2-0
1977-1978,30.10.1977,Napoli-Roma,2-0
1977-1978,30.10.1977,Perugia-Juventus,0-0
1977-1978,30.10.1977,Torino-Genoa,3-1
1977-1978,30.10.1977,Verona-Bologna,1-1
1977-1978,06.11.1977,Bologna-Torino,1-3
1977-1978,06.11.1977,Genoa-Foggia,0-0
1977-1978,06.11.1977,Inter-Milan,1-3
1977-1978,06.11.1977,Juventus-Atalanta,1-1
1977-1978,06.11.1977,Napoli-Perugia,3-2
1977-1978,06.11.1977,Pescara-Verona,2-2
1977-1978,06.11.1977,Roma-Fiorentina,2-2
1977-1978,06.11.1977,Vicenza-Lazio,2-1
1977-1978,20.11.1977,Atalanta-Genoa,1-1
1977-1978,20.11.1977,Fiorentina-Vicenza,1-3
1977-1978,20.11.1977,Foggia-Pescara,2-0
1977-1978,20.11.1977,Milan-Bologna,1-0
1977-1978,20.11.1977,Perugia-Inter,1-1
1977-1978,20.11.1977,Roma-Lazio,0-0
1977-1978,20.11.1977,Torino-Napoli,1-0
1977-1978,20.11.1977,Verona-Juventus,0-0
1977-1978,27.11.1977,Bologna-Fiorentina,0-1
1977-1978,27.11.1977,Inter-Atalanta,1-0
1977-1978,27.11.1977,Juventus-Genoa,4-0
1977-1978,27.11.1977,Lazio-Foggia,1-1
1977-1978,27.11.1977,Napoli-Verona,3-0
1977-1978,27.11.1977,Perugia-Torino,2-0
1977-1978,27.11.1977,Pescara-Milan,0-2
1977-1978,27.11.1977,Vicenza-Roma,4-3
1977-1978,11.12.1977,Atalanta-Fiorentina,0-0
1977-1978,11.12.1977,Bologna-Roma,0-0
1977-1978,11.12.1977,Foggia-Vicenza,1-1
1977-1978,11.12.1977,Genoa-Pescara,1-0
1977-1978,11.12.1977,Lazio-Napoli,1-1
1977-1978,11.12.1977,Milan-Perugia,2-2
1977-1978,11.12.1977,Torino-Juventus,0-0
1977-1978,11.12.1977,Verona-Inter,0-0
1977-1978,18.12.1977,Fiorentina-Lazio,0-1
1977-1978,18.12.1977,Inter-Juventus,0-1
1977-1978,18.12.1977,Napoli-Foggia,5-0
1977-1978,18.12.1977,Perugia-Verona,0-1
1977-1978,18.12.1977,Pescara-Atalanta,0-0
1977-1978,18.12.1977,Roma-Genoa,1-0
1977-1978,18.12.1977,Torino-Milan,1-0
1977-1978,18.12.1977,Vicenza-Bologna,3-0
1977-1978,31.12.1977,Atalanta-Milan,1-1
1977-1978,31.12.1977,Fiorentina-Napoli,1-0
1977-1978,31.12.1977,Foggia-Perugia,0-1
1977-1978,31.12.1977,Genoa-Vicenza,1-2
1977-1978,31.12.1977,Inter-Pescara,0-0
1977-1978,31.12.1977,Juventus-Bologna,1-0
1977-1978,31.12.1977,Lazio-Torino,1-1
1977-1978,31.12.1977,Verona-Roma,0-0
1977-1978,08.01.1978,Bologna-Genoa,2-1
1977-1978,08.01.1978,Foggia-Atalanta,1-0
1977-1978,08.01.1978,Milan-Verona,1-1
1977-1978,08.01.1978,Perugia-Lazio,4-0
1977-1978,08.01.1978,Pescara-Juventus,1-2
1977-1978,08.01.1978,Roma-Inter,1-2
1977-1978,08.01.1978,Torino-Fiorentina,1-0
1977-1978,08.01.1978,Vicenza-Napoli,0-0
1977-1978,15.01.1978,Atalanta-Torino,0-0
1977-1978,15.01.1978,Fiorentina-Pescara,3-0
1977-1978,15.01.1978,Inter-Genoa,2-0
1977-1978,15.01.1978,Juventus-Roma,2-0
1977-1978,15.01.1978,Lazio-Milan,2-0
1977-1978,15.01.1978,Napoli-Bologna,0-0
1977-1978,15.01.1978,Perugia-Vicenza,1-1
1977-1978,15.01.1978,Verona-Foggia,3-1
1977-1978,22.01.1978,Bologna-Lazio,2-1
1977-1978,22.01.1978,Foggia-Inter,0-2
1977-1978,22.01.1978,Genoa-Fiorentina,2-1
1977-1978,22.01.1978,Milan-Napoli,0-1
1977-1978,22.01.1978,Pescara-Perugia,1-1
1977-1978,22.01.1978,Roma-Atalanta,3-1
1977-1978,22.01.1978,Torino-Verona,2-1
1977-1978,22.01.1978,Vicenza-Juventus,0-0
1977-1978,29.01.1978,Bologna-Inter,2-1
1977-1978,29.01.1978,Foggia-Juventus,0-0
1977-1978,29.01.1978,Lazio-Genoa,0-0
1977-1978,29.01.1978,Milan-Fiorentina,5-1
1977-1978,29.01.1978,Napoli-Pescara,1-1
1977-1978,29.01.1978,Perugia-Atalanta,1-1
1977-1978,29.01.1978,Torino-Roma,1-1
1977-1978,29.01.1978,Vicenza-Verona,1-0
1977-1978,05.02.1978,Atalanta-Bologna,0-0
1977-1978,05.02.1978,Fiorentina-Foggia,1-1
1977-1978,05.02.1978,Genoa-Milan,1-1
1977-1978,05.02.1978,Inter-Vicenza,2-0
1977-1978,05.02.1978,Juventus-Napoli,1-0
1977-1978,05.02.1978,Pescara-Torino,2-1
1977-1978,05.02.1978,Roma-Perugia,2-0
1977-1978,05.02.1978,Verona-Lazio,2-2
1977-1978,12.02.1978,Bologna-Pescara,1-1
1977-1978,12.02.1978,Foggia-Roma,0-0
1977-1978,12.02.1978,Lazio-Atalanta,0-2
1977-1978,12.02.1978,Milan-Juventus,0-0
1977-1978,12.02.1978,Napoli-Inter,2-2
1977-1978,12.02.1978,Perugia-Genoa,0-0
1977-1978,12.02.1978,Torino-Vicenza,2-2
1977-1978,12.02.1978,Verona-Fiorentina,0-0
1977-1978,19.02.1978,Atalanta-Verona,1-0
1977-1978,19.02.1978,Bologna-Foggia,2-1
1977-1978,19.02.1978,Fiorentina-Perugia,2-1
1977-1978,19.02.1978,Genoa-Napoli,1-1
1977-1978,19.02.1978,Inter-Torino,0-0
1977-1978,19.02.1978,Juventus-Lazio,3-0
1977-1978,19.02.1978,Roma-Pescara,2-0
1977-1978,19.02.1978,Vicenza-Milan,1-1
1977-1978,26.02.1978,Fiorentina-Juventus,1-1
1977-1978,26.02.1978,Lazio-Inter,1-0
1977-1978,26.02.1978,Milan-Roma,1-0
1977-1978,26.02.1978,Napoli-Atalanta,2-2
1977-1978,26.02.1978,Perugia-Bologna,2-0
1977-1978,26.02.1978,Pescara-Vicenza,1-2
1977-1978,26.02.1978,Torino-Foggia,3-1
1977-1978,26.02.1978,Verona-Genoa,2-0
1977-1978,05.03.1978,Bologna-Verona,0-3
1977-1978,05.03.1978,Foggia-Milan,1-2
1977-1978,05.03.1978,Genoa-Torino,1-2
1977-1978,05.03.1978,Inter-Fiorentina,2-1
1977-1978,05.03.1978,Juventus-Perugia,2-0
1977-1978,05.03.1978,Pescara-Lazio,1-0
1977-1978,05.03.1978,Roma-Napoli,0-0
1977-1978,05.03.1978,Vicenza-Atalanta,2-2
1977-1978,12.03.1978,Atalanta-Juventus,0-2
1977-1978,12.03.1978,Fiorentina-Roma,2-0
1977-1978,12.03.1978,Foggia-Genoa,1-1
1977-1978,12.03.1978,Lazio-Vicenza,1-3
1977-1978,12.03.1978,Milan-Inter,0-0
1977-1978,12.03.1978,Perugia-Napoli,2-0
1977-1978,12.03.1978,Torino-Bologna,2-0
1977-1978,12.03.1978,Verona-Pescara,1-0
1977-1978,19.03.1978,Bologna-Milan,0-0
1977-1978,19.03.1978,Genoa-Atalanta,0-1
1977-1978,19.03.1978,Inter-Perugia,2-0
1977-1978,19.03.1978,Juventus-Verona,1-0
1977-1978,19.03.1978,Lazio-Roma,1-1
1977-1978,19.03.1978,Napoli-Torino,1-3
1977-1978,19.03.1978,Pescara-Foggia,1-2
1977-1978,19.03.1978,Vicenza-Fiorentina,1-0
1977-1978,26.03.1978,Atalanta-Inter,0-1
1977-1978,26.03.1978,Fiorentina-Bologna,0-0
1977-1978,26.03.1978,Foggia-Lazio,3-1
1977-1978,26.03.1978,Genoa-Juventus,2-2
1977-1978,26.03.1978,Milan-Pescara,2-0
1977-1978,26.03.1978,Roma-Vicenza,1-1
1977-1978,26.03.1978,Torino-Perugia,1-1
1977-1978,26.03.1978,Verona-Napoli,0-1
1977-1978,02.04.1978,Fiorentina-Atalanta,2-2
1977-1978,02.04.1978,Inter-Verona,0-0
1977-1978,02.04.1978,Juventus-Torino,0-0
1977-1978,02.04.1978,Napoli-Lazio,4-3
1977-1978,02.04.1978,Perugia-Milan,0-1
1977-1978,02.04.1978,Pescara-Genoa,0-0
1977-1978,02.04.1978,Roma-Bologna,1-1
1977-1978,02.04.1978,Vicenza-Foggia,2-0
1977-1978,09.04.1978,Atalanta-Pescara,2-0
1977-1978,09.04.1978,Bologna-Vicenza,3-2
1977-1978,09.04.1978,Foggia-Napoli,1-1
1977-1978,09.04.1978,Genoa-Roma,1-0
1977-1978,08.04.1978,Juventus-Inter,2-2
1977-1978,09.04.1978,Lazio-Fiorentina,1-0
1977-1978,09.04.1978,Milan-Torino,1-1
1977-1978,09.04.1978,Verona-Perugia,0-0
1977-1978,16.04.1978,Bologna-Juventus,1-1
1977-1978,16.04.1978,Milan-Atalanta,0-1
1977-1978,16.04.1978,Napoli-Fiorentina,0-0
1977-1978,16.04.1978,Perugia-Foggia,3-1
1977-1978,16.04.1978,Pescara-Inter,2-1
1977-1978,19.04.1978,Roma-Verona,2-1
1977-1978,16.04.1978,Torino-Lazio,1-0
1977-1978,16.04.1978,Vicenza-Genoa,1-0
1977-1978,27.04.1978,Atalanta-Foggia,1-2
1977-1978,23.04.1978,Fiorentina-Torino,2-0
1977-1978,23.04.1978,Genoa-Bologna,0-0
1977-1978,23.04.1978,Inter-Roma,4-2
1977-1978,23.04.1978,Juventus-Pescara,2-0
1977-1978,23.04.1978,Lazio-Perugia,2-0
1977-1978,23.04.1978,Napoli-Vicenza,1-4
1977-1978,23.04.1978,Verona-Milan,1-2
1977-1978,30.04.1978,Bologna-Napoli,0-0
1977-1978,30.04.1978,Foggia-Verona,4-0
1977-1978,30.04.1978,Genoa-Inter,1-1
1977-1978,30.04.1978,Milan-Lazio,0-2
1977-1978,30.04.1978,Pescara-Fiorentina,1-2
1977-1978,30.04.1978,Roma-Juventus,1-1
1977-1978,30.04.1978,Torino-Atalanta,3-2
1977-1978,30.04.1978,Vicenza-Perugia,3-1
1977-1978,07.05.1978,Atalanta-Roma,0-1
1977-1978,07.05.1978,Fiorentina-Genoa,0-0
1977-1978,07.05.1978,Inter-Foggia,2-1
1977-1978,07.05.1978,Juventus-Vicenza,3-2
1977-1978,07.05.1978,Lazio-Bologna,0-1
1977-1978,07.05.1978,Napoli-Milan,1-1
1977-1978,07.05.1978,Perugia-Pescara,2-1
1977-1978,07.05.1978,Verona-Torino,0-0
1978-1979,01.10.1978,Bologna-Inter,0-1
1978-1979,01.10.1978,Catanzaro-Atalanta,0-0
1978-1979,01.10.1978,Lazio-Juventus,2-2
1978-1979,01.10.1978,Milan-Avellino,1-0
1978-1979,01.10.1978,Napoli-Ascoli,2-1
1978-1979,01.10.1978,Perugia-Vicenza,2-0
1978-1979,01.10.1978,Torino-Fiorentina,1-1
1978-1979,01.10.1978,Verona-Roma,1-1
1978-1979,08.10.1978,Ascoli-Bologna,2-2
1978-1979,08.10.1978,Atalanta-Torino,0-1
1978-1979,08.10.1978,Avellino-Lazio,1-3
1978-1979,08.10.1978,Fiorentina-Napoli,2-1
1978-1979,08.10.1978,Inter-Perugia,1-1
1978-1979,08.10.1978,Juventus-Verona,6-2
1978-1979,08.10.1978,Roma-Milan,0-3
1978-1979,08.10.1978,Vicenza-Catanzaro,2-0
1978-1979,15.10.1978,Bologna-Vicenza,5-2
1978-1979,15.10.1978,Catanzaro-Juventus,0-0
1978-1979,15.10.1978,Lazio-Atalanta,1-1
1978-1979,15.10.1978,Milan-Ascoli,0-0
1978-1979,15.10.1978,Napoli-Roma,1-0
1978-1979,15.10.1978,Perugia-Fiorentina,1-0
1978-1979,15.10.1978,Torino-Avellino,1-0
1978-1979,15.10.1978,Verona-Inter,0-0
1978-1979,22.10.1978,Ascoli-Torino,3-0
