season,position,team,matchs,points,wins,draws,losses,goalsScored,goalsConceded,goalDifference
2005-2006,13,Ascoli,38,43,9,16,13,43,53,-10
2005-2006,14,Reggina,38,41,11,8,19,39,65,-26
2005-2006,15,Sampdoria,38,41,10,11,17,47,51,-4
2005-2006,16,Siena,38,39,9,12,17,42,60,-18
2005-2006,17,Cagliari,38,39,8,15,15,42,55,-13
2005-2006,18,Messina,38,31,6,13,19,33,59,-26
2005-2006,19,Lecce,38,29,7,8,23,30,57,-27
2005-2006,20,Treviso,38,21,3,12,23,24,56,-32
2006-2007,1,INTER,38,97,30,7,1,80,34,46
2006-2007,2,Roma,38,75,22,9,7,74,34,40
2006-2007,3,Lazio,38,62,18,11,9,59,33,26
2006-2007,4,Milan,38,61,19,12,7,57,36,21
2006-2007,5,Palermo,38,58,16,10,12,58,51,7
2006-2007,6,Fiorentina,38,58,21,10,7,62,31,31
2006-2007,7,Empoli,38,54,14,12,12,42,43,-1
2006-2007,8,Atalanta,38,50,12,14,12,56,54,2
2006-2007,9,Sampdoria,38,49,13,10,15,44,48,-4
2006-2007,10,Udinese,38,46,12,10,16,49,55,-6
2006-2007,11,Livorno,38,43,10,13,15,41,54,-13
2006-2007,12,Parma,38,42,10,12,16,41,56,-15
2006-2007,13,Catania,38,41,10,11,17,46,68,-22
2006-2007,14,Reggina,38,40,12,15,11,52,50,2
2006-2007,15,Siena,38,40,9,14,15,35,45,-10
2006-2007,16,Torino,38,40,10,10,18,27,47,-20
2006-2007,17,Cagliari,38,40,9,13,16,35,46,-11
2006-2007,18,Chievo,38,39,9,12,17,38,48,-10
2006-2007,19,Ascoli,38,27,5,12,21,36,67,-31
2006-2007,20,Messina,38,26,5,11,22,37,69,-32
2007-2008,1,INTER,38,85,25,10,3,69,26,43
2007-2008,2,Roma,38,82,24,10,4,72,37,35
2007-2008,3,Juventus,38,72,20,12,6,72,37,35
2007-2008,4,Fiorentina,38,66,19,9,10,55,39,16
2007-2008,5,Milan,38,64,18,10,10,66,38,28
2007-2008,6,Sampdoria,38,60,17,9,12,56,46,10
2007-2008,7,Udinese,38,57,16,9,13,48,53,-5
2007-2008,8,Napoli,38,50,14,8,16,50,53,-3
2007-2008,9,Atalanta,38,48,12,12,14,52,56,-4
2007-2008,10,Genoa,38,48,13,9,16,44,52,-8
2007-2008,11,Palermo,38,47,12,11,15,47,57,-10
2007-2008,12,Lazio,38,46,11,13,14,47,51,-4
2007-2008,13,Siena,38,44,9,17,12,40,45,-5
2007-2008,14,Cagliari,38,42,11,9,18,40,56,-16
2007-2008,15,Torino,38,40,8,16,14,36,49,-13
2007-2008,16,Reggina,38,40,9,13,16,37,56,-19
2007-2008,17,Catania,38,37,8,13,17,33,45,-12
2007-2008,18,Empoli,38,36,9,9,20,29,52,-23
2007-2008,19,Parma,38,34,7,13,18,42,62,-20
2007-2008,20,Livorno,38,30,6,12,20,35,60,-25
2008-2009,1,INTER,38,84,25,9,4,70,32,38
2008-2009,2,Juventus,38,74,21,11,6,69,37,32
2008-2009,3,Milan,38,74,22,8,8,70,35,35
2008-2009,4,Fiorentina,38,68,21,5,12,53,38,15
2008-2009,5,Genoa,38,68,19,11,8,56,39,17
2008-2009,6,Roma,38,63,18,9,11,64,61,3
2008-2009,7,Udinese,38,58,16,10,12,61,50,11
2008-2009,8,Palermo,38,57,17,6,15,57,50,7
2008-2009,9,Cagliari,38,53,15,8,15,49,50,-1
2008-2009,10,Lazio,38,50,15,5,18,46,55,-9
2008-2009,11,Atalanta,38,47,13,8,17,45,48,-3
2008-2009,12,Napoli,38,46,12,10,16,43,45,-2
2008-2009,13,Sampdoria,38,46,11,13,14,49,52,-3
2008-2009,14,Siena,38,44,12,8,18,33,44,-11
2008-2009,15,Catania,38,43,12,7,19,41,51,-10
2008-2009,16,Chievo,38,38,8,14,16,35,49,-14
2008-2009,17,Bologna,38,37,9,10,19,43,62,-19
2008-2009,18,Torino,38,34,8,10,20,37,61,-24
2008-2009,19,Reggina,38,31,6,13,19,30,62,-32
2008-2009,20,Lecce,38,30,5,15,18,37,67,-30
2009-2010,1,INTER,38,82,24,10,4,75,34,41
2009-2010,2,Roma,38,80,24,8,6,68,41,27
2009-2010,3,Milan,38,70,20,10,8,60,39,21
2009-2010,4,Sampdoria,38,67,19,10,9,49,41,8
2009-2010,5,Palermo,38,65,18,11,9,59,47,12
2009-2010,6,Napoli,38,59,15,14,9,50,43,7
2009-2010,7,Juventus,38,55,16,7,15,55,56,-1
2009-2010,8,Parma,38,52,14,10,14,46,51,-5
2009-2010,9,Genoa,38,51,14,9,15,57,61,-4
2009-2010,10,Bari,38,50,13,11,14,49,49,0
2009-2010,11,Fiorentina,38,47,13,8,17,48,47,1
2009-2010,12,Lazio,38,46,11,13,14,39,43,-4
2009-2010,13,Catania,38,45,10,15,13,44,45,-1
2009-2010,14,Chievo,38,44,12,8,18,37,42,-5
2009-2010,15,Cagliari,38,44,11,11,16,56,58,-2
2009-2010,16,Udinese,38,44,11,11,16,54,59,-5
2009-2010,17,Bologna,38,42,10,12,16,42,55,-13
2009-2010,18,Atalanta,38,35,9,8,21,37,53,-16
2009-2010,19,Siena,38,31,7,10,21,40,67,-27
2009-2010,20,Livorno,38,29,7,8,23,27,61,-34
2010-2011,1,MILAN,38,82,24,10,4,65,24,41
2010-2011,2,Inter,38,76,23,7,8,69,42,27
2010-2011,3,Napoli,38,70,21,7,10,59,39,20
2010-2011,4,Udinese,38,66,20,6,12,65,43,22
2010-2011,5,Lazio,38,66,20,6,12,55,39,16
2010-2011,6,Roma,38,63,18,9,11,59,52,7
2010-2011,7,Juventus,38,58,15,13,10,57,47,10
2010-2011,8,Palermo,38,56,17,5,16,58,63,-5
2010-2011,9,Fiorentina,38,51,12,15,11,49,44,5
2010-2011,10,Genoa,38,51,14,9,15,45,47,-2
2010-2011,11,Chievo,38,46,11,13,14,38,40,-2
2010-2011,12,Parma,38,46,11,13,14,39,47,-8
2010-2011,13,Catania,38,46,12,10,16,40,52,-12
2010-2011,14,Cagliari,38,45,12,9,17,44,51,-7
2010-2011,15,Cesena,38,43,11,10,17,38,50,-12
2010-2011,16,Bologna,38,42,11,12,15,35,52,-17
2010-2011,17,Lecce,38,41,11,8,19,46,66,-20
2010-2011,18,Sampdoria,38,36,8,12,18,33,49,-16
2010-2011,19,Brescia,38,32,7,11,20,34,52,-18
2010-2011,20,Bari,38,24,5,9,24,27,56,-29
2011-2012,1,JUVENTUS,38,84,23,15,0,68,20,48
2011-2012,2,Milan,38,80,24,8,6,74,33,41
2011-2012,3,Udinese,38,64,18,10,10,52,35,17
2011-2012,4,Lazio,38,62,18,8,12,56,47,9
2011-2012,5,Napoli,38,61,16,13,9,66,46,20
2011-2012,6,Inter,38,58,17,7,14,58,55,3
2011-2012,7,Roma,38,56,16,8,14,60,54,6
2011-2012,8,Parma,38,56,15,11,12,54,53,1
2011-2012,9,Bologna,38,51,13,12,13,41,43,-2
2011-2012,10,Chievo,38,49,12,13,13,35,45,-10
2011-2012,11,Catania,38,48,11,15,12,47,52,-5
2011-2012,12,Atalanta,38,46,13,13,12,41,43,-2
2011-2012,13,Fiorentina,38,46,11,13,14,37,43,-6
2011-2012,14,Siena,38,44,11,11,16,45,45,0
2011-2012,15,Cagliari,38,43,10,13,15,37,46,-9
2011-2012,16,Palermo,38,43,11,10,17,52,62,-10
2011-2012,17,Genoa,38,42,11,9,18,50,69,-19
2011-2012,18,Lecce,38,36,8,12,18,40,56,-16
2011-2012,19,Novara,38,32,7,11,20,35,65,-30
2011-2012,20,Cesena,38,22,4,10,24,24,60,-36
2012-2013,1,JUVENTUS,38,87,27,6,5,71,24,47
2012-2013,2,Napoli,38,78,23,9,6,73,36,37
2012-2013,3,Milan,38,72,21,9,8,67,39,28
2012-2013,4,Fiorentina,38,70,21,7,10,72,44,28
2012-2013,5,Udinese,38,66,18,12,8,59,45,14
2012-2013,6,Roma,38,62,18,8,12,71,56,15
2012-2013,7,Lazio,38,61,18,7,13,51,42,9
2012-2013,8,Catania,38,56,15,11,12,50,46,4
2012-2013,9,Inter,38,54,16,6,16,55,57,-2
2012-2013,10,Parma,38,49,13,10,15,45,46,-1
2012-2013,11,Cagliari,38,47,12,11,15,43,55,-12
2012-2013,12,Chievo,38,45,12,9,17,37,52,-15
2012-2013,13,Bologna,38,44,11,11,16,46,52,-6
2012-2013,14,Sampdoria,38,42,11,10,17,43,51,-8
2012-2013,15,Atalanta,38,40,11,9,18,39,56,-17
2012-2013,16,Torino,38,39,8,16,14,46,55,-9
2012-2013,17,Genoa,38,38,8,14,16,38,52,-14
2012-2013,18,Palermo,38,32,6,14,18,34,54,-20
2012-2013,19,Siena,38,30,9,9,20,36,57,-21
2012-2013,20,Pescara,38,22,6,4,28,27,84,-57
2013-2014,1,JUVENTUS,38,102,33,3,2,80,23,57
2013-2014,2,Roma,38,85,26,7,5,72,25,47
2013-2014,3,Napoli,38,78,23,9,6,77,39,38
2013-2014,4,Fiorentina,38,65,19,8,11,65,44,21
2013-2014,5,Inter,38,60,15,15,8,62,39,23
2013-2014,6,Parma,38,58,15,13,10,58,46,12
2013-2014,7,Torino,38,57,15,12,11,58,48,10
2013-2014,8,Milan,38,57,16,9,13,57,49,8
2013-2014,9,Lazio,38,56,15,11,12,54,54,0
2013-2014,10,Verona,38,54,16,6,16,62,68,-6
2013-2014,11,Atalanta,38,50,15,5,18,43,51,-8
2013-2014,12,Sampdoria,38,45,12,9,17,48,62,-14
2013-2014,13,Udinese,38,44,12,8,18,46,57,-11
2013-2014,14,Genoa,38,44,11,11,16,41,50,-9
2013-2014,15,Cagliari,38,39,9,12,17,34,53,-19
2013-2014,16,Chievo,38,36,10,6,22,34,54,-20
2013-2014,17,Sassuolo,38,34,9,7,22,43,72,-29
2013-2014,18,Catania,38,32,8,8,22,34,66,-32
2013-2014,19,Bologna,38,29,5,14,19,28,58,-30
2013-2014,20,Livorno,38,25,6,7,25,39,77,-38
2014-2015,1,JUVENTUS,38,87,26,9,3,72,24,48
2014-2015,2,Roma,38,70,19,13,6,54,31,23
2014-2015,3,Lazio,38,69,21,6,11,71,38,33
2014-2015,4,Fiorentina,38,64,18,10,10,61,46,15
2014-2015,5,Napoli,38,63,18,9,11,70,54,16
2014-2015,6,Genoa,38,59,16,11,11,62,47,15
2014-2015,7,Sampdoria,38,56,13,17,8,48,42,6
2014-2015,8,Inter,38,55,14,13,11,59,48,11
2014-2015,9,Torino,38,54,14,12,12,48,45,3
2014-2015,10,Milan,38,52,13,13,12,56,50,6
2014-2015,11,Palermo,38,49,12,13,13,53,55,-2
2014-2015,12,Sassuolo,38,49,12,13,13,49,57,-8
2014-2015,13,Verona,38,46,11,13,14,49,65,-16
2014-2015,14,Chievo,38,43,10,13,15,28,41,-13
2014-2015,15,Empoli,38,42,8,18,12,46,52,-6
2014-2015,16,Udinese,38,41,10,11,17,43,56,-13
2014-2015,17,Atalanta,38,37,7,16,15,38,57,-19
2014-2015,18,Cagliari,38,34,8,10,20,48,68,-20
2014-2015,19,Cesena,38,24,4,12,22,36,73,-37
2014-2015,20,Parma,38,19,6,8,24,33,75,-42
2015-2016,1,JUVENTUS,38,91,29,4,5,75,20,55
2015-2016,2,Napoli,38,82,25,7,6,80,32,48
2015-2016,3,Roma,38,80,23,11,4,83,41,42
2015-2016,4,Inter,38,67,20,7,11,50,38,12
2015-2016,5,Fiorentina,38,64,18,10,10,60,42,18
2015-2016,6,Sassuolo,38,61,16,13,9,49,40,9
2015-2016,7,Milan,38,57,15,12,11,49,43,6
2015-2016,8,Lazio,38,54,15,9,14,52,52,0
2015-2016,9,Chievo,38,50,13,11,14,43,45,-2
2015-2016,10,Empoli,38,46,12,10,16,40,49,-9
2015-2016,11,Genoa,38,46,13,7,18,45,48,-3
2015-2016,12,Torino,38,45,12,9,17,52,55,-3
2015-2016,13,Atalanta,38,45,11,12,15,41,47,-6
2015-2016,14,Bologna,38,42,11,9,18,33,45,-12
2015-2016,15,Sampdoria,38,40,10,10,18,48,61,-13
2015-2016,16,Palermo,38,39,10,9,19,38,65,-27
2015-2016,17,Udinese,38,39,10,9,19,35,60,-25
2015-2016,18,Carpi,38,38,9,11,18,37,57,-20
2015-2016,19,Frosinone,38,31,8,7,23,35,76,-41
2015-2016,20,Verona,38,28,5,13,20,34,63,-29
2016-2017,1,JUVENTUS,38,91,29,4,5,77,27,50
2016-2017,2,Roma,38,87,28,3,7,90,38,52
2016-2017,3,Napoli,38,86,26,8,4,94,39,55
2016-2017,4,Atalanta,38,72,21,9,8,62,41,21
2016-2017,5,Lazio,38,70,21,7,10,74,51,23
2016-2017,6,Milan,38,63,18,9,11,57,45,12
2016-2017,7,Inter,38,62,19,5,14,72,49,23
2016-2017,8,Fiorentina,38,60,16,12,10,63,57,6
2016-2017,9,Torino,38,53,13,14,11,71,66,5
2016-2017,10,Sampdoria,38,48,12,12,14,49,55,-6
2016-2017,11,Cagliari,38,47,14,5,19,55,76,-21
2016-2017,12,Sassuolo,38,46,13,7,18,58,63,-5
2016-2017,13,Udinese,38,45,12,9,17,47,56,-9
2016-2017,14,Chievo,38,43,12,7,19,43,61,-18
2016-2017,15,Bologna,38,41,11,8,19,40,58,-18
2016-2017,16,Genoa,38,36,9,9,20,38,64,-26
2016-2017,17,Crotone,38,34,9,7,22,34,58,-24
2016-2017,18,Empoli,38,32,8,8,22,29,61,-32
2016-2017,19,Palermo,38,26,6,8,24,33,77,-44
2016-2017,20,Pescara,38,18,3,9,26,37,81,-44
2017-2018,1,JUVENTUS,38,95,30,5,3,86,24,62
2017-2018,2,Napoli,38,91,28,7,3,77,29,48
2017-2018,3,Roma,38,77,23,8,7,61,28,33
2017-2018,4,Inter,38,72,20,12,6,66,30,36
2017-2018,5,Lazio,38,72,21,9,8,89,49,40
2017-2018,6,Milan,38,64,18,10,10,56,42,14
2017-2018,7,Atalanta,38,60,16,12,10,57,39,18
2017-2018,8,Fiorentina,38,57,16,9,13,54,46,8
2017-2018,9,Torino,38,54,13,15,10,54,46,8
2017-2018,10,Sampdoria,38,54,16,6,16,56,60,-4
2017-2018,11,Sassuolo,38,43,11,10,17,29,59,-30
2017-2018,12,Genoa,38,41,11,8,19,33,43,-10
2017-2018,13,Chievo,38,40,10,10,18,36,59,-23
2017-2018,14,Udinese,38,40,12,4,22,48,63,-15
2017-2018,15,Bologna,38,39,11,6,21,40,52,-12
2017-2018,16,Cagliari,38,39,11,6,21,33,61,-28
2017-2018,17,Spal,38,38,8,14,16,39,59,-20
2017-2018,18,Crotone,38,35,9,8,21,40,66,-26
2017-2018,19,Verona,38,25,7,4,27,30,78,-48
2017-2018,20,Benevento,38,21,6,3,29,33,84,-51
